Wall time,Step,Value
1622216459.1218367,0,1.4476912021636963
1622216499.3384693,1,1.1267421245574951
1622216548.8503766,2,0.8542837500572205
1622216600.5641057,3,0.8871451020240784
1622216653.9156275,4,0.7282413244247437
1622216710.6811452,5,0.628994345664978
1622216761.2507641,6,0.5601280927658081
1622216818.6198673,7,0.5773266553878784
1622216876.1785011,8,0.47824612259864807
1622217108.4186502,9,0.4921814203262329
1622217148.3252819,10,0.4521993398666382
1622217192.2695525,11,0.3753936290740967
1622217243.8303514,12,0.3461672067642212
1622217298.0959404,13,0.20630156993865967
1622217351.5138807,14,0.24455085396766663
1622217410.036101,15,0.2613740861415863
1622217465.4442384,16,0.1462438702583313
1622217523.055053,17,0.13121050596237183
1622217579.873031,18,0.14365653693675995
1622217638.2240937,19,0.12587668001651764
