Wall time,Step,Value
1622226026.9945943,0,48.661224365234375
1622226149.551175,1,66.3551025390625
1622226272.5713308,2,72.67550659179688
1622226392.9079673,3,76.82449340820312
1622226515.0967937,4,80.28367614746094
1622226637.7831843,5,83.0346908569336
1622226757.0799413,6,85.34693908691406
1622226882.1799023,7,87.11632537841797
1622227005.8161452,8,88.89387512207031
1622227129.5039325,9,90.67550659179688
1622227248.5384881,10,92.0448989868164
1622227377.8503554,11,93.24081420898438
1622227498.123582,12,94.25714111328125
1622227574.8871262,13,95.2244873046875
1622227634.4414387,14,95.82244873046875
